Metric,Fiscal_Year,Amount
NET OPERATING REVENUES,FY '09,30990
NET OPERATING REVENUES,FY '10,35119
NET OPERATING REVENUES,FY '11,46542
NET OPERATING REVENUES,FY '12,48017
NET OPERATING REVENUES,FY '13,46854
NET OPERATING REVENUES,FY '14,45998
NET OPERATING REVENUES,FY '15,44294
NET OPERATING REVENUES,FY '16,41863
NET OPERATING REVENUES,FY '17,35410
NET OPERATING REVENUES,FY '18,31856
Cost of goods sold,FY '09,11088
Cost of goods sold,FY '10,12693
Cost of goods sold,FY '11,18215
Cost of goods sold,FY '12,19053
Cost of goods sold,FY '13,18421
Cost of goods sold,FY '14,17889
Cost of goods sold,FY '15,17482
Cost of goods sold,FY '16,16465
Cost of goods sold,FY '17,13255
Cost of goods sold,FY '18,11770
Gross Profit,FY '09,19902
Gross Profit,FY '10,22426
Gross Profit,FY '11,28327
Gross Profit,FY '12,28964
Gross Profit,FY '13,28433
Gross Profit,FY '14,28109
Gross Profit,FY '15,26812
Gross Profit,FY '16,25398
Gross Profit,FY '17,22155
Gross Profit,FY '18,20086
"Selling, general and administrative expenses",FY '09,11358
"Selling, general and administrative expenses",FY '10,13194
"Selling, general and administrative expenses",FY '11,17422
"Selling, general and administrative expenses",FY '12,17738
"Selling, general and administrative expenses",FY '13,17310
"Selling, general and administrative expenses",FY '14,17218
"Selling, general and administrative expenses",FY '15,16427
"Selling, general and administrative expenses",FY '16,15262
"Selling, general and administrative expenses",FY '17,12654
"Selling, general and administrative expenses",FY '18,10307
Other operating charges,FY '09,313
Other operating charges,FY '10,819
Other operating charges,FY '11,732
Other operating charges,FY '12,447
Other operating charges,FY '13,895
Other operating charges,FY '14,1183
Other operating charges,FY '15,1657
Other operating charges,FY '16,1510
Other operating charges,FY '17,1902
Other operating charges,FY '18,1079
Operating Income,FY '09,8231
Operating Income,FY '10,8413
Operating Income,FY '11,10173
Operating Income,FY '12,10779
Operating Income,FY '13,10228
Operating Income,FY '14,9708
Operating Income,FY '15,8728
Operating Income,FY '16,8626
Operating Income,FY '17,7599
Operating Income,FY '18,8700
Interest income,FY '09,249
Interest income,FY '10,317
Interest income,FY '11,483
Interest income,FY '12,471
Interest income,FY '13,534
Interest income,FY '14,594
Interest income,FY '15,613
Interest income,FY '16,642
Interest income,FY '17,677
Interest income,FY '18,682
Interest expense,FY '09,355
Interest expense,FY '10,733
Interest expense,FY '11,417
Interest expense,FY '12,397
Interest expense,FY '13,463
Interest expense,FY '14,483
Interest expense,FY '15,856
Interest expense,FY '16,733
Interest expense,FY '17,841
Interest expense,FY '18,919
Equity income (loss) - net,FY '09,781
Equity income (loss) - net,FY '10,1025
Equity income (loss) - net,FY '11,690
Equity income (loss) - net,FY '12,819
Equity income (loss) - net,FY '13,602
Equity income (loss) - net,FY '14,769
Equity income (loss) - net,FY '15,489
Equity income (loss) - net,FY '16,835
Equity income (loss) - net,FY '17,1071
Equity income (loss) - net,FY '18,1008
Other income (loss) - net,FY '09,40
Other income (loss) - net,FY '10,5185
Other income (loss) - net,FY '11,529
Other income (loss) - net,FY '12,137
Other income (loss) - net,FY '13,576
Other income (loss) - net,FY '14,-1263
Other income (loss) - net,FY '15,631
Other income (loss) - net,FY '16,-1234
Other income (loss) - net,FY '17,-1764
Other income (loss) - net,FY '18,-1121
Income before income taxes,FY '09,8946
Income before income taxes,FY '10,14207
Income before income taxes,FY '11,11458
Income before income taxes,FY '12,11809
Income before income taxes,FY '13,11477
Income before income taxes,FY '14,9325
Income before income taxes,FY '15,9605
Income before income taxes,FY '16,8136
Income before income taxes,FY '17,6742
Income before income taxes,FY '18,8350
Income taxes,FY '09,2040
Income taxes,FY '10,2370
Income taxes,FY '11,2812
Income taxes,FY '12,2723
Income taxes,FY '13,2851
Income taxes,FY '14,2201
Income taxes,FY '15,2239
Income taxes,FY '16,1586
Income taxes,FY '17,5560
Income taxes,FY '18,1623
CONSOLIDATED NET INCOME,FY '09,6906
CONSOLIDATED NET INCOME,FY '10,11837
CONSOLIDATED NET INCOME,FY '11,8646
CONSOLIDATED NET INCOME,FY '12,9086
CONSOLIDATED NET INCOME,FY '13,8626
CONSOLIDATED NET INCOME,FY '14,7124
CONSOLIDATED NET INCOME,FY '15,7366
CONSOLIDATED NET INCOME,FY '16,6550
CONSOLIDATED NET INCOME,FY '17,1283
CONSOLIDATED NET INCOME,FY '18,6476
Less: Net income attributable to noncontrolling interests,FY '09,82
Less: Net income attributable to noncontrolling interests,FY '10,50
Less: Net income attributable to noncontrolling interests,FY '11,62
Less: Net income attributable to noncontrolling interests,FY '12,67
Less: Net income attributable to noncontrolling interests,FY '13,42
Less: Net income attributable to noncontrolling interests,FY '14,26
Less: Net income attributable to noncontrolling interests,FY '15,15
Less: Net income attributable to noncontrolling interests,FY '16,23
Less: Net income attributable to noncontrolling interests,FY '17,35
Less: Net income attributable to noncontrolling interests,FY '18,42
Net income from continuing operations,FY '09,6906
Net income from continuing operations,FY '10,11837
Net income from continuing operations,FY '11,8646
Net income from continuing operations,FY '12,9086
Net income from continuing operations,FY '13,8626
Net income from continuing operations,FY '14,7124
Net income from continuing operations,FY '15,7366
Net income from continuing operations,FY '16,6550
Net income from continuing operations,FY '17,1182
Net income from continuing operations,FY '18,6727
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '09,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '10,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '11,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '12,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '13,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '14,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '15,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '16,0
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '17,101
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",FY '18,-251
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '09,6824
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '10,11787
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '11,8584
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '12,9019
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '13,8584
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '14,7098
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '15,7351
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '16,6527
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '17,1248
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,FY '18,6434
